Node	GO terms	Odds Ratio	KEGG terms	Odds Ratio
Node 20	GO-BP-0042121:alginic acid biosynthetic process	50.721	KEGG-Module-M00299: Spermidine/putrescine transport system	14.21
Node 20	GO-BP-0007155:cell adhesion	26.446	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa PAO1	13.124
Node 20	GO-BP-0022610:biological adhesion	19.831	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	9.841
Node 20	GO-CC-0031975:envelope	13.124	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	8.462
Node 20	GO-CC-0030313:cell envelope	13.124	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1	7.872
Node 20	GO-CC-0030312:external encapsulating structure	13.124	KEGG-Module-M00034: Methionine salvage pathway	6.579
Node 20	GO-CC-0071944:cell periphery	13.124	KEGG-Pathway-pae00521: Streptomycin biosynthesis - Pseudomonas aeruginosa PAO1	6.558
Node 20	GO-BP-0032787:monocarboxylic acid metabolic process	9.908	KEGG-Pathway-pae00410: beta-Alanine metabolism - Pseudomonas aeruginosa PAO1	6.292
Node 20	GO-BP-1901616:organic hydroxy compound catabolic process	9.875	KEGG-Pathway-pae00340: Histidine metabolism - Pseudomonas aeruginosa PAO1	5.223
Node 21	GO-BP-0009991:response to extracellular stimulus	35.58	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	26.857
Node 21	GO-BP-0009267:cellular response to starvation	35.58	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	23.715
Node 21	GO-BP-0042594:response to starvation	35.58	KEGG-Module-M00436: Sulfonate transport system	17.898
Node 21	GO-BP-0071496:cellular response to external stimulus	35.58	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	14.224
Node 21	GO-BP-0031668:cellular response to extracellular stimulus	35.58	KEGG-Module-M00616: Sulfate-sulfur assimilation	12.738
Node 21	GO-BP-0031669:cellular response to nutrient levels	35.58	KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1	12.068
Node 21	GO-BP-0031667:response to nutrient levels	35.58	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	10.632
Node 21	GO-MF-0022892:substrate-specific transporter activity	14.864	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism - Pseudomonas aeruginosa PAO1	8.858
Node 21	GO-BP-0065008:regulation of biological quality	13.292	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	6.851
Node 21	GO-BP-0042592:homeostatic process	13.292	KEGG-Module-M00258: Putative ABC transport system	5.886
Node 22	GO-BP-0008300:isoprenoid catabolic process	11.961	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	15.997
Node 22	GO-MF-0005515:protein binding	10.602	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	15.951
Node 22	GO-BP-0034308:primary alcohol metabolic process	10.602	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1	13.367
Node 22	GO-BP-0006067:ethanol metabolic process	10.602	KEGG-Module-M00237: Branched-chain amino acid transport system	13.367
Node 22	GO-BP-0044242:cellular lipid catabolic process	9.567	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	11.961
Node 22	GO-BP-0016042:lipid catabolic process	9.567	KEGG-Module-M00223: Phosphonate transport system	11.961
Node 22	GO-BP-0006720:isoprenoid metabolic process	9.567	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	10.661
Node 22	GO-BP-0055114:oxidation-reduction process	9.567	KEGG-Module-M00190: Iron(III) transport system	10.602
Node 22	GO-BP-0030254:protein secretion by the type III secretion system	7.971	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	10.261
Node 22	GO-MF-0016835:carbon-oxygen lyase activity	7.95	KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	7.992
Node 23	GO-MF-0015077:monovalent inorganic cation transmembrane transporter activity	11.713	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	39.212
Node 23	GO-MF-0004129:cytochrome-c oxidase activity	11.713	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	29.3
Node 23	GO-MF-0016675:oxidoreductase activity, acting on a heme group of donors	11.713	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	15.676
Node 23	GO-MF-0016676:oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	11.713	KEGG-Module-M00222: Phosphate transport system	12.972
Node 23	GO-MF-0015078:hydrogen ion transmembrane transporter activity	11.713	KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	9.727
Node 23	GO-MF-0015002:heme-copper terminal oxidase activity	11.713	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	7.78
Node 23	GO-BP-0015628:protein secretion by the type II secretion system	11.193	KEGG-Module-M00331: Type II general secretion pathway	7.46
Node 23	GO-MF-0022890:inorganic cation transmembrane transporter activity	9.759	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1	7.317
Node 23	GO-MF-0022891:substrate-specific transmembrane transporter activity	8.363	KEGG-Pathway-pae00740: Riboflavin metabolism - Pseudomonas aeruginosa PAO1	5.555
Node 23	GO-MF-0015075:ion transmembrane transporter activity	8.363	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	4.846
Node 24	GO-BP-0002047:phenazine biosynthetic process	27.869	KEGG-Module-M00185: Sulfate transport system	85.06
Node 24	GO-BP-0017000:antibiotic biosynthetic process	27.869	KEGG-Module-M00436: Sulfonate transport system	65.078
Node 24	GO-BP-0017144:drug metabolic process	24.381	KEGG-Module-M00616: Sulfate-sulfur assimilation	43.2
Node 24	GO-BP-0016999:antibiotic metabolic process	24.381	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	42.522
Node 24	GO-BP-0009057:macromolecule catabolic process	14.058	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	28.343
Node 24	GO-MF-0016833:oxo-acid-lyase activity	10.542	KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1	22.225
Node 24	GO-BP-0009991:response to extracellular stimulus	10.542	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism - Pseudomonas aeruginosa PAO1	10.58
Node 24	GO-BP-0009267:cellular response to starvation	10.542	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	9.067
Node 24	GO-BP-0042594:response to starvation	10.542	KEGG-Pathway-pae00460: Cyanoamino acid metabolism - Pseudomonas aeruginosa PAO1	7.932
Node 24	GO-BP-0071496:cellular response to external stimulus	10.542	KEGG-Module-M00236: Putative polar amino acid transport system	7.123
Node 25	GO-CC-0016020:membrane	8.467	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism - Pseudomonas aeruginosa PAO1	14.117
Node 25	GO-BP-0043107:type IV pilus-dependent motility	6.556	KEGG-Module-M00299: Spermidine/putrescine transport system	10.663
Node 25	GO-BP-0032409:regulation of transporter activity	5.272	KEGG-Module-M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	10.624
Node 25	GO-CC-0031975:envelope	5.272	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	10.586
Node 25	GO-BP-0046889:positive regulation of lipid biosynthetic process	5.272	KEGG-Module-M00307: Pyruvate oxidation, pyruvate => acetyl-CoA	7.965
Node 25	GO-BP-0045834:positive regulation of lipid metabolic process	5.272	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	7.204
Node 25	GO-BP-0009057:macromolecule catabolic process	5.272	KEGG-Pathway-pae00550: Peptidoglycan biosynthesis - Pseudomonas aeruginosa PAO1	7.128
Node 25	GO-CC-0030313:cell envelope	5.272	KEGG-Module-M00034: Methionine salvage pathway	7.079
Node 25	GO-CC-0030312:external encapsulating structure	5.272	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	5.272
Node 25	GO-CC-0071944:cell periphery	5.272	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	5.272
Node 26	GO-BP-0072330:monocarboxylic acid biosynthetic process	21.533	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	Inf
Node 26	GO-BP-0009057:macromolecule catabolic process	14.297	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	43.249
Node 26	GO-BP-0051248:negative regulation of protein metabolic process	10.721	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	7.144
Node 26	GO-BP-0051050:positive regulation of transport	8.067	KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	6.451
Node 26	GO-BP-0044550:secondary metabolite biosynthetic process	7.607	KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	5.41
Node 26	GO-BP-0019748:secondary metabolic process	7.324	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	5.339
Node 26	GO-BP-0032787:monocarboxylic acid metabolic process	7.169	KEGG-Module-M00185: Sulfate transport system	5.339
Node 26	GO-MF-0008233:peptidase activity	6.123	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	5.339
Node 26	GO-BP-0051246:regulation of protein metabolic process	5.374	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	5.339
Node 26	GO-BP-0043269:regulation of ion transport	5.339	KEGG-Module-M00299: Spermidine/putrescine transport system	4.283
Node 27	GO-MF-0016874:ligase activity	7.574	KEGG-Pathway-pae00730: Thiamine metabolism - Pseudomonas aeruginosa PAO1	12.713
Node 27	GO-BP-0000160:phosphorelay signal transduction system	7.574	KEGG-Module-M00049: Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	11.402
Node 27	GO-BP-0055086:nucleobase-containing small molecule metabolic process	6.311	KEGG-Module-M00178: Ribosome, bacteria	11.182
Node 27	GO-BP-0006753:nucleoside phosphate metabolic process	6.311	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	8.367
Node 27	GO-BP-0035556:intracellular signal transduction	6.311	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	7.574
Node 27	GO-BP-0007165:signal transduction	5.408	KEGG-Module-M00335: Sec (secretion) system	7.122
Node 27	GO-BP-0023052:signaling	5.408	KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	6.697
Node 27	GO-BP-0044700:single organism signaling	5.408	KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	6.311
Node 27	GO-BP-0006865:amino acid transport	4.731	KEGG-Pathway-pae02060: Phosphotransferase system (PTS) - Pseudomonas aeruginosa PAO1	4.718
Node 27	GO-BP-0009066:aspartate family amino acid metabolic process	4.718	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.718
Node 28	GO-BP-0055114:oxidation-reduction process	11.852	KEGG-Module-M00452: CusS-CusR (copper tolerance) two-component regulatory system	6.558
Node 28	GO-BP-0009896:positive regulation of catabolic process	4.902	KEGG-Pathway-pae00750: Vitamin B6 metabolism - Pseudomonas aeruginosa PAO1	5.62
Node 28	GO-MF-0004672:protein kinase activity	4.902	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism - Pseudomonas aeruginosa PAO1	4.902
Node 28	GO-MF-0005515:protein binding	4.902	KEGG-Pathway-pae00523: Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa PAO1	4.902
Node 28	GO-BP-0010955:negative regulation of protein processing	4.902	KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	3.932
Node 28	GO-BP-1903318:negative regulation of protein maturation	4.902	KEGG-Pathway-pae00590: Arachidonic acid metabolism - Pseudomonas aeruginosa PAO1	3.921
Node 28	GO-BP-0044267:cellular protein metabolic process	4.551	KEGG-Module-M00242: Zinc transport system	3.921
Node 28	GO-BP-0045892:negative regulation of transcription, DNA-templated	3.932	KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	3.301
Node 28	GO-BP-1902679:negative regulation of RNA biosynthetic process	3.932	KEGG-Pathway-pae00040: Pentose and glucuronate interconversions - Pseudomonas aeruginosa PAO1	3.267
Node 28	GO-BP-2000113:negative regulation of cellular macromolecule biosynthetic process	3.932	KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	3.267
Node 29	GO-MF-0016874:ligase activity	25.635	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	32.161
Node 29	GO-BP-0008300:isoprenoid catabolic process	14.365	KEGG-Module-M00144: NADH:quinone oxidoreductase, prokaryotes	19.424
Node 29	GO-BP-0044242:cellular lipid catabolic process	11.489	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism - Pseudomonas aeruginosa PAO1	12.725
Node 29	GO-BP-0016042:lipid catabolic process	11.489	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	10.548
Node 29	GO-BP-0006720:isoprenoid metabolic process	11.489	KEGG-Pathway-pae00550: Peptidoglycan biosynthesis - Pseudomonas aeruginosa PAO1	10.447
Node 29	GO-MF-0016835:carbon-oxygen lyase activity	9.542	KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	8.97
Node 29	GO-MF-0016836:hydro-lyase activity	9.542	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	8.204
Node 29	GO-BP-1901293:nucleoside phosphate biosynthetic process	9.542	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	7.408
Node 29	GO-BP-0009991:response to extracellular stimulus	9.542	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	6.817
Node 29	GO-BP-0009267:cellular response to starvation	9.542	KEGG-Module-M00300: Putrescine transport system	6.359
Node 30	GO-BP-0007155:cell adhesion	9.541	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	16.042
Node 30	GO-BP-0043683:type IV pilus biogenesis	8.98	KEGG-Module-M00222: Phosphate transport system	15.907
Node 30	GO-BP-0050709:negative regulation of protein secretion	7.98	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	11.928
Node 30	GO-BP-0051048:negative regulation of secretion	7.98	KEGG-Module-M00324: Dipeptide transport system	9.541
Node 30	GO-BP-0051224:negative regulation of protein transport	7.98	KEGG-Module-M00332: Type III secretion system	9.285
Node 30	GO-BP-0043711:pilus organization	7.98	KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin	6.812
Node 30	GO-BP-0009297:pilus assembly	7.98	KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism - Pseudomonas aeruginosa PAO1	5.583
Node 30	GO-BP-0022610:biological adhesion	7.949	KEGG-Module-M00188: NitT/TauT family transport system	4.332
Node 30	GO-BP-0043107:type IV pilus-dependent motility	7.394	KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	4.011
Node 30	GO-BP-0030031:cell projection assembly	5.982	KEGG-Module-M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	3.957
Node 31	GO-BP-0015807:L-amino acid transport	18.048	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	13.534
Node 31	GO-BP-1902023:L-arginine transport	18.048	KEGG-Module-M00230: Glutamate/aspartate transport system	11.991
Node 31	GO-BP-0015802:basic amino acid transport	18.048	KEGG-Module-M00616: Sulfate-sulfur assimilation	9.047
Node 31	GO-BP-0015809:arginine transport	18.048	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	5.135
Node 31	GO-BP-0032885:regulation of polysaccharide biosynthetic process	18.048	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	5.135
Node 31	GO-BP-0032881:regulation of polysaccharide metabolic process	18.048	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	4.492
Node 31	GO-BP-0043255:regulation of carbohydrate biosynthetic process	18.048	KEGG-Pathway-pae02060: Phosphotransferase system (PTS) - Pseudomonas aeruginosa PAO1	4.48
Node 31	GO-BP-0046942:carboxylic acid transport	15.997	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.48
Node 31	GO-BP-0015711:organic anion transport	15.997	KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism - Pseudomonas aeruginosa PAO1	4.48
Node 31	GO-BP-0006820:anion transport	14.217	KEGG-Module-M00185: Sulfate transport system	4.48
Node 32	GO-BP-0009991:response to extracellular stimulus	39.366	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	79.924
Node 32	GO-BP-0009267:cellular response to starvation	39.366	KEGG-Module-M00185: Sulfate transport system	29.414
Node 32	GO-BP-0042594:response to starvation	39.366	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	19.675
Node 32	GO-BP-0071496:cellular response to external stimulus	39.366	KEGG-Module-M00616: Sulfate-sulfur assimilation	14.098
Node 32	GO-BP-0031668:cellular response to extracellular stimulus	39.366	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	13.913
Node 32	GO-BP-0031669:cellular response to nutrient levels	39.366	KEGG-Module-M00190: Iron(III) transport system	13.022
Node 32	GO-BP-0031667:response to nutrient levels	39.366	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	10.63
Node 32	GO-BP-0002047:phenazine biosynthetic process	19.958	KEGG-Pathway-pae00910: Nitrogen metabolism - Pseudomonas aeruginosa PAO1	9.321
Node 32	GO-BP-0017000:antibiotic biosynthetic process	19.958	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	7.81
Node 32	GO-BP-0017144:drug metabolic process	17.737	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	6.12
Node 33	GO-MF-0005515:protein binding	26.786	KEGG-Module-M00436: Sulfonate transport system	36.318
Node 33	GO-BP-0009057:macromolecule catabolic process	11.862	KEGG-Module-M00223: Phosphonate transport system	23.886
Node 33	GO-BP-0050709:negative regulation of protein secretion	8.949	KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1	11.149
Node 33	GO-BP-0051048:negative regulation of secretion	8.949	KEGG-Pathway-pae00440: Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1	10.229
Node 33	GO-BP-0051224:negative regulation of protein transport	8.949	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	7.115
Node 33	GO-BP-0030254:protein secretion by the type III secretion system	8.922	KEGG-Module-M00237: Branched-chain amino acid transport system	6.689
Node 33	GO-BP-0051248:negative regulation of protein metabolic process	8.895	KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF	5.944
Node 33	GO-BP-0071241:cellular response to inorganic substance	8.895	KEGG-Pathway-pae00740: Riboflavin metabolism - Pseudomonas aeruginosa PAO1	5.08
Node 33	GO-BP-0007155:cell adhesion	7.115	KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism - Pseudomonas aeruginosa PAO1	5.08
Node 33	GO-BP-0044092:negative regulation of molecular function	7.115	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	4.444
Node 34	GO-BP-0009628:response to abiotic stimulus	12.773	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	96.893
Node 34	GO-BP-0032101:regulation of response to external stimulus	12.773	KEGG-Module-M00299: Spermidine/putrescine transport system	19.432
Node 34	GO-BP-0080134:regulation of response to stress	9.609	KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD	12.773
Node 34	GO-BP-1902882:regulation of response to oxidative stress	7.661	KEGG-Module-M00328: Hemophore/metalloprotease transport system	9.578
Node 34	GO-BP-1900192:positive regulation of single-species biofilm formation	6.403	KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	4.827
Node 34	GO-BP-0048583:regulation of response to stimulus	6.403	KEGG-Pathway-pae00052: Galactose metabolism - Pseudomonas aeruginosa PAO1	4.772
Node 34	GO-BP-1900233:positive regulation of single-species biofilm formation on inanimate substrate	6.383	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	4.772
Node 34	GO-MF-0008233:peptidase activity	5.47	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	3.817
Node 34	GO-BP-0006595:polyamine metabolic process	5.47	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	3.18
Node 34	GO-BP-0006935:chemotaxis	5.47	KEGG-Module-M00119: Pantothenate biosynthesis, valine/L-aspartate => pantothenate	3.18
Node 35	GO-BP-0043603:cellular amide metabolic process	18.932	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	Inf
Node 35	GO-BP-0072330:monocarboxylic acid biosynthetic process	18.867	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	12.533
Node 35	GO-BP-0031455:glycine betaine metabolic process	9.398	KEGG-Pathway-pae00643: Styrene degradation - Pseudomonas aeruginosa PAO1	9.459
Node 35	GO-BP-0031457:glycine betaine catabolic process	9.398	KEGG-Module-M00021: Cysteine biosynthesis, serine => cysteine	9.398
Node 35	GO-BP-0044270:cellular nitrogen compound catabolic process	8.625	KEGG-Module-M00328: Hemophore/metalloprotease transport system	9.398
Node 35	GO-BP-0042219:cellular modified amino acid catabolic process	8.08	KEGG-Module-M00240: Iron complex transport system	8.08
Node 35	GO-BP-0044092:negative regulation of molecular function	7.517	KEGG-Module-M00334: Type VI secretion system	5.496
Node 35	GO-BP-0043683:type IV pilus biogenesis	7.069	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	4.696
Node 35	GO-BP-1901615:organic hydroxy compound metabolic process	6.301	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.682
Node 35	GO-BP-0032787:monocarboxylic acid metabolic process	6.282	KEGG-Pathway-pae00401: Novobiocin biosynthesis - Pseudomonas aeruginosa PAO1	4.682
Node 36	GO-BP-0072330:monocarboxylic acid biosynthetic process	19.838	KEGG-Pathway-pae01053: Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1	Inf
Node 36	GO-BP-0043683:type IV pilus biogenesis	16.648	KEGG-Module-M00242: Zinc transport system	19.838
Node 36	GO-BP-0043711:pilus organization	14.267	KEGG-Module-M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	9.88
Node 36	GO-BP-0009297:pilus assembly	14.267	KEGG-Module-M00529: Denitrification, nitrate => nitrogen	8.496
Node 36	GO-BP-0009057:macromolecule catabolic process	13.176	KEGG-Pathway-pae00627: Aminobenzoate degradation - Pseudomonas aeruginosa PAO1	7.124
Node 36	GO-MF-0090484:drug transporter activity	13.176	KEGG-Pathway-pae00340: Histidine metabolism - Pseudomonas aeruginosa PAO1	6.669
Node 36	GO-BP-0022607:cellular component assembly	12.023	KEGG-Module-M00530: Dissimilatory nitrate reduction, nitrate => ammonia	6.584
Node 36	GO-BP-0044085:cellular component biogenesis	10.928	KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	5.963
Node 36	GO-BP-0030031:cell projection assembly	9.981	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	5.643
Node 36	GO-BP-0030030:cell projection organization	9.981	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.922
Node 37	GO-BP-0009057:macromolecule catabolic process	28.414	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	11.359
Node 37	GO-BP-0002047:phenazine biosynthetic process	24.868	KEGG-Pathway-pae00460: Cyanoamino acid metabolism - Pseudomonas aeruginosa PAO1	7.095
Node 37	GO-BP-0017000:antibiotic biosynthetic process	24.868	KEGG-Module-M00023: Tryptophan biosynthesis, chorismate => tryptophan	5.388
Node 37	GO-BP-0017144:drug metabolic process	21.756	KEGG-Pathway-pae00363: Bisphenol degradation - Pseudomonas aeruginosa PAO1	4.7
Node 37	GO-BP-0016999:antibiotic metabolic process	21.756	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	4.7
Node 37	GO-BP-0043683:type IV pilus biogenesis	15.888	KEGG-Module-M00432: Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	4.7
Node 37	GO-MF-0008233:peptidase activity	15.2	KEGG-Module-M00200: Putative sorbitol/mannitol transport system	4.7
Node 37	GO-BP-0043711:pilus organization	13.615	KEGG-Module-M00334: Type VI secretion system	4.143
Node 37	GO-BP-0009297:pilus assembly	13.615	KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa PAO1	3.799
Node 37	GO-BP-0030031:cell projection assembly	12.749	KEGG-Module-M00210: Putative ABC transport system	3.759
Node 38	GO-BP-0008300:isoprenoid catabolic process	48.251	KEGG-Module-M00222: Phosphate transport system	76.934
Node 38	GO-BP-0044242:cellular lipid catabolic process	32.161	KEGG-Module-M00223: Phosphonate transport system	14.365
Node 38	GO-BP-0016042:lipid catabolic process	32.161	KEGG-Module-M00210: Putative ABC transport system	9.542
Node 38	GO-BP-0006720:isoprenoid metabolic process	32.161	KEGG-Pathway-pae00562: Inositol phosphate metabolism - Pseudomonas aeruginosa PAO1	7.632
Node 38	GO-BP-0042120:alginic acid metabolic process	15.102	KEGG-Module-M00176: Assimilatory sulfate reduction, sulfate => H2S	7.632
Node 38	GO-BP-0042121:alginic acid biosynthetic process	14.512	KEGG-Pathway-pae00500: Starch and sucrose metabolism - Pseudomonas aeruginosa PAO1	7.408
Node 38	GO-BP-0009057:macromolecule catabolic process	12.725	KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	7.408
Node 38	GO-MF-0016833:oxo-acid-lyase activity	9.542	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	6.359
Node 38	GO-BP-0009991:response to extracellular stimulus	9.542	KEGG-Pathway-pae00072: Synthesis and degradation of ketone bodies - Pseudomonas aeruginosa PAO1	4.767
Node 38	GO-BP-0009267:cellular response to starvation	9.542	KEGG-Pathway-pae00450: Selenocompound metabolism - Pseudomonas aeruginosa PAO1	4.767
Node 39	GO-BP-0030254:protein secretion by the type III secretion system	63.362	KEGG-Module-M00332: Type III secretion system	318.811
Node 39	GO-MF-0005515:protein binding	26.786	KEGG-Module-M00324: Dipeptide transport system	13.388
Node 39	GO-BP-0050709:negative regulation of protein secretion	18.027	KEGG-Pathway-pae00680: Methane metabolism - Pseudomonas aeruginosa PAO1	4.479
Node 39	GO-BP-0051048:negative regulation of secretion	18.027	KEGG-Pathway-pae00401: Novobiocin biosynthesis - Pseudomonas aeruginosa PAO1	4.432
Node 39	GO-BP-0051224:negative regulation of protein transport	18.027	KEGG-Module-M00190: Iron(III) transport system	4.432
Node 39	GO-BP-0045184:establishment of protein localization	11.76	KEGG-Module-M00185: Sulfate transport system	4.432
